Date	AMZN	MSFT	NFLX	SPY
2000-01-01	64.5625	31.235828399658203		94.58290100097656
2000-02-01	68.875	28.523143768310547		93.14273834228516
2000-03-01	67.0	33.90864944458008		101.91062927246094
2000-03-17				
2000-04-01	55.1875	22.260025024414062		98.58140563964844
2000-05-01	48.3125	19.966203689575195		97.03144836425781
2000-06-01	36.3125	25.531200408935547		98.70879364013672
2000-06-16				
2000-07-01	30.125	22.279972076416016		97.38760375976562
2000-08-01	41.5	22.279972076416016		103.7509765625
2000-09-01	38.4375	19.248138427734375		97.81324005126953
2000-09-14				
2000-09-15				
2000-10-01	36.625	21.98077392578125		97.6002426147461
2000-11-01	24.6875	18.310667037963867		90.31412506103516
2000-12-01	15.5625	13.842705726623535		89.5673828125
2000-12-15				
2000-12-27				
2001-01-01	17.3125	19.487491607666016		93.83638000488281
2001-02-01	10.1875	18.829265594482422		84.88556671142578
2001-03-01	10.229999542236328	17.452972412109375		79.91368865966797
2001-03-16				
2001-04-01	15.779999732971191	21.621747970581055		86.97505187988281
2001-05-01	16.690000534057617	22.078109741210938		86.48751831054688
2001-06-01	14.149999618530273	23.29722785949707		84.1871109008789
2001-06-15				
2001-07-01	12.489999771118164	21.12388801574707		83.56572723388672
2001-08-01	8.9399995803833	18.206945419311523		78.60758972167969
2001-09-01	5.96999979019165	16.33039093017578		71.92095947265625
2001-09-21				
2001-10-01	6.980000019073486	18.55799674987793		73.13086700439453
2001-11-01	11.319999694824219	20.491989135742188		78.8333969116211
2001-12-01	10.819999694824219	21.143030166625977		79.0062255859375
2001-12-21				
2002-01-01	14.1899995803833	20.33241844177246		78.50112915039062
2002-02-01	14.100000381469727	18.618635177612305		77.09315490722656
2002-03-01	14.300000190734863	19.24734115600586		79.43058776855469
2002-03-15				
2002-04-01	16.690000534057617	16.67826271057129		75.02555847167969
2002-05-01	18.229999542236328	16.247419357299805	1.0764285326004028	74.58036041259766
2002-06-01	16.25	17.456960678100586	0.9992856979370117	68.83483123779297
2002-06-21				
2002-07-01	14.449999809265137	15.31234359741211	0.9535714387893677	63.63121795654297
2002-08-01	14.9399995803833	15.663398742675781	0.9364285469055176	64.06401824951172
2002-09-01	15.930000305175781	13.959190368652344	0.6928571462631226	57.090816497802734
2002-09-20				
2002-10-01	19.360000610351562	17.064424514770508	0.6407142877578735	62.06549835205078
2002-11-01	23.350000381469727	18.407997131347656	0.7749999761581421	65.89373779296875
2002-12-01	18.889999389648438	16.499547958374023	0.7864285707473755	61.862117767333984
2002-12-20				
2003-01-01	21.850000381469727	15.146387100219727	0.9428571462631226	60.63716125488281
2003-02-01	22.010000228881836	15.127243995666504	1.2221428155899048	59.81984329223633
2003-02-18				
2003-02-19				
2003-03-01	26.030000686645508	15.502455711364746	1.4535714387893677	59.70707321166992
2003-03-21				
2003-04-01	28.690000534057617	16.373300552368164	1.6285713911056519	65.02008819580078
2003-05-01	35.88999938964844	15.75858211517334	1.6071428060531616	68.58558654785156
2003-06-01	36.31999969482422	16.41813087463379	1.8250000476837158	69.06664276123047
2003-06-20				
2003-07-01	41.63999938964844	16.911190032958984	1.8714286088943481	70.56571197509766
2003-08-01	46.31999969482422	16.981616973876953	2.380714178085327	72.02119445800781
2003-09-01	48.43000030517578	17.801250457763672	2.3971428871154785	70.96330261230469
2003-09-19				
2003-10-01	54.43000030517578	16.73828887939453	4.092857360839844	75.04874420166016
2003-10-15				
2003-11-01	53.970001220703125	16.555313110351562	3.5	75.86833190917969
2003-12-01	52.619998931884766	17.62422752380371	3.906428575515747	79.31077575683594
2003-12-19				
2004-01-01	50.400001525878906	17.804523468017578	5.2435712814331055	81.26087951660156
2004-02-01	43.0099983215332	17.08332633972168	4.914285659790039	82.3636474609375
2004-02-12				
2004-03-01	43.279998779296875	16.053049087524414	4.874285697937012	80.98876953125
2004-03-19				
2004-04-01	43.599998474121094	16.825756072998047	3.622857093811035	79.73492431640625
2004-05-01	48.5	16.89015007019043	4.70285701751709	81.1002426147461
2004-06-01	54.400001525878906	18.3904972076416	5.142857074737549	82.3002700805664
2004-06-18				
2004-07-01	38.91999816894531	18.345422744750977	2.9285714626312256	79.93941497802734
2004-08-01	38.13999938964844	17.57914924621582	1.9928570985794067	80.1341552734375
2004-08-23				
2004-09-01	40.86000061035156	17.85704803466797	2.202857255935669	80.60296630859375
2004-09-17				
2004-10-01	34.130001068115234	18.063709259033203	1.3528571128845215	81.9813461303711
2004-11-01	39.68000030517578	17.314558029174805	1.6257143020629883	85.37789154052734
2004-11-15				
2004-12-01	44.290000915527344	19.232990264892578	1.7614285945892334	87.79550170898438
2004-12-17				
2005-01-01	43.220001220703125	18.916278839111328	1.6428571939468384	86.23248291015625
2005-02-01	35.18000030517578	18.1101016998291	1.5285714864730835	88.03507232666016
2005-02-15				
2005-03-01	34.27000045776367	17.451187133789062	1.5499999523162842	86.08649444580078
2005-03-18				
2005-04-01	32.36000061035156	18.267061233520508	1.649999976158142	84.80548095703125
2005-05-01	35.5099983215332	18.62807846069336	2.041428565979004	87.53828430175781
2005-05-16				
2005-06-01	33.09000015258789	17.9918212890625	2.344285726547241	87.31848907470703
2005-06-17				
2005-07-01	45.150001525878906	18.54954719543457	2.651428461074829	91.02533721923828
2005-08-01	42.70000076293945	19.83156394958496	3.0799999237060547	90.17205810546875
2005-08-15				
2005-09-01	45.29999923706055	18.69173812866211	3.712857246398926	90.51041412353516
2005-09-16				
2005-10-01	39.86000061035156	18.66994857788086	3.772857189178467	88.74593353271484
