Date	AMZN	MSFT	NFLX
2009-12-31	2.68507	4.8331800000000005	1.89884
2010-01-29	2.2719	4.24783	1.99168
2010-02-26	2.14491	4.32169	2.11326
2010-03-31	2.45958	4.41477	2.3593
2010-04-30	2.28577	4.51771	2.92044
2010-05-31	2.0917	3.81716	3.28217
2010-06-30	1.82161	3.4043699999999997	3.20835
2010-07-30	1.8424200000000002	3.5989999999999998	2.85429
2010-08-31	1.95088	3.27201	3.49361
2010-09-30	2.45458	3.41494	4.51342
2010-10-29	2.41051	3.48441	4.50981
2010-11-30	2.55888	3.30049	5.34983
2010-12-31	2.6259900000000003	3.6471	4.56515
2011-01-31	2.23674	3.50515	5.2249300000000005
2011-02-28	2.2848599999999997	3.36039	5.04408
2011-03-31	2.37505	3.20994	5.80336
2011-04-29	2.39653	3.19136	5.11814
2011-05-31	2.4073	3.07932	5.95691
2011-06-30	2.50276	3.2012099999999997	5.77851
2011-07-29	2.5081700000000002	3.28781	5.26074
2011-08-31	2.426	3.19182	4.64802
2011-09-30	2.4372700000000003	2.98663	2.24025
2011-10-31	2.22845	3.14929	1.47338
2011-11-30	2.00697	3.0251099999999997	1.15835
2011-12-30	1.8066799999999998	3.07005	1.2438
2012-01-31	1.84018	3.4319699999999997	2.0779400000000003
2012-02-29	1.70058	3.6888099999999997	1.9142299999999999
2012-03-30	1.91655	3.7486699999999997	1.9887400000000002
2012-04-30	2.0300599999999998	3.6782199999999996	1.3257700000000001
2012-05-31	1.86382	3.3536599999999996	1.0495
2012-06-29	1.99898	3.5145	1.13296
2012-07-31	1.9410900000000002	3.3465	0.9134200000000001
2012-08-31	2.06564	3.4998	0.95954
2012-09-28	2.11598	3.37943	0.8747
2012-10-31	1.8426099999999999	3.3203099999999997	1.24347
2012-11-30	1.9941799999999998	3.09636	1.28224
2012-12-31	1.9848400000000002	3.10738	1.45297
2013-01-31	1.97301	3.15136	2.54489
2013-02-28	1.96387	3.1915400000000003	2.89665
2013-03-29	1.98037	3.28396	2.91513
2013-04-30	1.80505	3.63564	3.22338
2013-05-31	1.9145	3.83334	3.37525
2013-06-28	1.97488	3.79435	3.14909
2013-07-31	2.0592599999999996	3.40613	3.65285
2013-08-30	1.9208900000000002	3.57301	4.2419199999999995
2013-09-30	2.13733	3.56017	4.61993
2013-10-31	2.37725	3.6766199999999998	4.61072
2013-11-29	2.57048	3.9596	5.2301
2013-12-31	2.6042400000000003	3.8848300000000004	5.26398
2014-01-31	2.2113099999999997	3.76436	5.577459999999999
2014-02-28	2.23233	3.81112	6.07207
2014-03-31	2.07368	4.07773	4.7967
2014-04-30	1.7907400000000002	4.00379	4.17755
2014-05-30	1.8403200000000002	4.05731	5.42016
2014-06-30	1.9123299999999999	4.132630000000001	5.71553
2014-07-31	1.7686099999999998	4.09516	5.19278
2014-08-29	1.9158099999999998	4.31055	5.867430000000001
2014-09-30	1.82201	4.39879	5.54239
2014-10-31	1.65904	4.235530000000001	4.55481
2014-11-28	1.83925	4.31311	4.01928
2014-12-31	1.6856	4.19042	3.96153
2015-01-30	1.85257	3.55255	4.84893
2015-02-27	1.9865	3.85592	5.212330000000001
2015-03-31	1.94438	3.5749699999999995	4.57334
2015-04-30	2.1372400000000003	4.16341	5.80875
2015-05-29	2.17499	4.01105	6.51394
2015-06-30	2.19962	3.7790800000000004	6.857139999999999
2015-07-31	2.6189400000000003	4.005780000000001	7.9674
2015-08-31	2.50532	3.7330099999999997	8.01758
2015-09-30	2.50044	3.7964800000000003	7.19722
2015-10-30	2.91831	4.6319099999999995	7.19159
2015-11-30	3.0996900000000003	4.78238	8.1836
2015-12-31	3.15139	4.88181	7.58972
2016-01-29	2.58373	4.9565	5.79718
2016-02-29	2.4319599999999997	4.577719999999999	5.89628
2016-03-31	2.61295	4.9690900000000005	6.4530199999999995
2016-04-29	2.74495	4.51715	5.382219999999999
2016-05-31	3.0079599999999997	4.80066	6.1319
2016-06-30	2.97812	4.6349	5.46891
2016-07-29	2.9814700000000003	5.18703	5.1309
2016-08-31	3.0221400000000003	5.25841	5.47952
2016-09-30	3.28991	5.27122	5.54137
2016-10-31	2.93113	5.46194	6.55385
2016-11-30	2.78547	5.49294	6.14079
2016-12-30	2.78287	5.6643099999999995	6.4977
2017-01-31	3.05605	5.83214	6.852589999999999
2017-02-28	2.96414	5.7717	6.92174
2017-03-31	3.1097099999999998	5.9413	7.198360000000001
2017-04-28	3.10118	6.06	6.89802
2017-05-31	3.33463	6.18215	7.39067
2017-06-30	3.24538	6.1016	6.77157
2017-07-31	3.15829	6.22981	7.69705
2017-08-31	3.1353299999999997	6.40719	7.40258
2017-09-29	3.0737799999999997	6.3832	7.68392
2017-10-31	3.3058099999999997	6.82884	7.8094
2017-11-30	3.51957	6.91011	7.45755
2017-12-29	3.4978	7.022589999999999	7.63168
2018-01-31	4.33951	7.404710000000001	10.01872
2018-02-28	4.1156	7.30807	10.80006
2018-03-30	3.9384300000000003	7.113230000000001	10.94721
2018-04-30	3.93166	6.94232	10.64621
2018-05-31	4.09105	7.3372399999999995	11.9798
2018-06-29	4.2672300000000005	7.32017	13.3369
2018-07-31	4.1591	7.37927	10.58779
2018-08-31	4.70962	7.814039999999999	11.53628
2018-09-28	4.6869	7.95595	11.73865
2018-10-31	3.5365599999999997	7.138889999999999	8.83633
2018-11-30	3.7405199999999996	7.411580000000001	8.37809
2018-12-31	3.32401	6.78866	7.837269999999999
2019-01-31	3.6236300000000004	6.773110000000001	9.3847
2019-02-28	3.4572800000000004	7.266030000000001	9.89886
2019-03-29	3.7543900000000003	7.64934	9.85629
2019-04-30	3.9241	8.192219999999999	9.75036
2019-05-31	3.61562	7.75815	9.03304
2019-06-28	3.85711	8.402989999999999	9.66563
2019-07-31	3.6585699999999997	8.27628	8.0212
2019-08-30	3.4812199999999995	8.37285	7.295039999999999
2019-09-30	3.40208	8.4439	6.64613
2019-10-31	3.31282	8.431189999999999	6.672960000000001
2019-11-29	3.3578300000000003	8.902239999999999	7.3056399999999995
2019-12-31	3.4455400000000003	9.2739	7.512510000000001
2020-01-31	3.5660199999999995	9.65088	7.51262
2020-02-28	3.34416	9.18486	8.0338
2020-03-31	3.4612800000000004	8.94108	8.17465
2020-04-30	4.16685	9.80688	8.62686
2020-05-29	4.113580000000001	10.02796	8.62439
2020-06-30	4.64656	11.13664	9.34992
2020-07-31	4.9272800000000005	10.85292	9.52805
2020-08-31	5.37301	11.939219999999999	10.32088
2020-09-30	4.90245	11.13456	9.74535
