Date	ID	PS
2005-12-30	NFLX	2.29287
2006-01-31	AMZN	2.3039
2006-01-31	MSFT	7.06762
2006-01-31	NFLX	2.19264
2006-02-28	AMZN	1.83452
2006-02-28	MSFT	6.74625
2006-02-28	NFLX	2.13374
2006-03-31	AMZN	1.78993
2006-03-31	MSFT	6.83161
2006-03-31	NFLX	2.30724
2006-04-28	AMZN	1.65587
2006-04-28	MSFT	5.79127
2006-04-28	NFLX	2.17067
2006-05-31	AMZN	1.62765
2006-05-31	MSFT	5.43156
2006-05-31	NFLX	2.02787
2006-06-30	AMZN	1.81905
2006-06-30	MSFT	5.58743
2006-06-30	NFLX	1.99271
2006-07-31	AMZN	1.21765
2006-07-31	MSFT	5.46705
2006-07-31	NFLX	1.68775
2006-08-31	AMZN	1.39606
2006-08-31	MSFT	5.8397
2006-08-31	NFLX	1.63309
2006-09-29	AMZN	1.45448
2006-09-29	MSFT	6.21462
2006-09-29	NFLX	1.85823
2006-10-31	AMZN	1.61358
2006-10-31	MSFT	6.21653
2006-10-31	NFLX	2.06147
2006-11-30	AMZN	1.7089
2006-11-30	MSFT	6.35728
2006-11-30	NFLX	2.1822
2006-12-29	AMZN	1.67162
2006-12-29	MSFT	6.46554
2006-12-29	NFLX	1.92732
2007-01-31	AMZN	1.59579
2007-01-31	MSFT	6.55097
2007-01-31	NFLX	1.5703
2007-02-28	AMZN	1.51283
2007-02-28	MSFT	5.97994
2007-02-28	NFLX	1.55102
2007-03-30	AMZN	1.53796
2007-03-30	MSFT	5.91626
2007-03-30	NFLX	1.59646
2007-04-30	AMZN	2.19131
2007-04-30	MSFT	5.78318
2007-04-30	NFLX	1.41434
2007-05-31	AMZN	2.47036
2007-05-31	MSFT	5.92807
2007-05-31	NFLX	1.39711
2007-06-29	AMZN	2.44428
2007-06-29	MSFT	5.6924
2007-06-29	NFLX	1.23699
2007-07-31	AMZN	2.66008
2007-07-31	MSFT	5.31916
2007-07-31	NFLX	1.09919
2007-08-31	AMZN	2.70648
2007-08-31	MSFT	5.27146
2007-08-31	NFLX	1.03749
2007-09-28	AMZN	3.15491
2007-09-28	MSFT	5.4054
2007-09-28	NFLX	1.22876
2007-10-31	AMZN	2.81369
2007-10-31	MSFT	6.36838
2007-10-31	NFLX	1.47279
2007-11-30	AMZN	2.85819
2007-11-30	MSFT	5.81303
2007-11-30	NFLX	1.28529
2007-12-31	AMZN	2.92384
2007-12-31	MSFT	6.15904
2007-12-31	NFLX	1.48114
2008-01-31	AMZN	2.1787
2008-01-31	MSFT	5.25278
2008-01-31	NFLX	1.35444
2008-02-29	AMZN	1.80773
2008-02-29	MSFT	4.38267
2008-02-29	NFLX	1.70072
2008-03-31	AMZN	1.99925
2008-03-31	MSFT	4.57282
2008-03-31	NFLX	1.86606
2008-04-30	AMZN	2.05495
2008-04-30	MSFT	4.58159
